Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B10_1.tif	1	1	87.91	10.58	
2.	B10_1.tif	1	2	127.20	12.73	
3.	B10_1.tif	1	3	95.25	11.01	
4.	B10_1.tif	1	4	128.97	12.81	
5.	B10_1.tif	1	5	85.37	10.43	
6.	B10_1.tif	1	6	108.48	11.75	
7.	B10_1.tif	1	7	82.20	10.23	
8.	B10_1.tif	1	8	111.14	11.90	
9.	B10_1.tif	1	9	106.31	11.63	
10.	B10_1.tif	1	10	169.18	14.68	
11.	B10_1.tif	1	11	110.48	11.86	
12.	B10_1.tif	1	12	119.70	12.35	
13.	B10_1.tif	1	13	87.83	10.57	
14.	B10_1.tif	1	14	148.09	13.73	
15.	B10_1.tif	1	15	99.26	11.24	
16.	B10_1.tif	1	16	130.34	12.88		
1.	B10_2.tif	1	1	138.71	13.29	
2.	B10_2.tif	1	2	110.35	11.85	
3.	B10_2.tif	1	3	134.06	13.07	
4.	B10_2.tif	1	4	108.79	11.77	
5.	B10_2.tif	1	5	165.51	14.52	
6.	B10_2.tif	1	6	140.45	13.37	
7.	B10_2.tif	1	7	195.04	15.76	
8.	B10_2.tif	1	8	102.77	11.44	
9.	B10_2.tif	1	9	58.38	8.62	
10.	B10_2.tif	1	10	84.34	10.36	
11.	B10_2.tif	1	12	106.34	11.64	
12.	B10_2.tif	1	13	87.59	10.56	
13.	B10_2.tif	1	14	148.90	13.77	
14.	B10_2.tif	1	15	90.68	10.75	
15.	B10_2.tif	1	16	165.88	14.53	
16.	B10_2.tif	1	17	116.11	12.16	
17.	B10_2.tif	1	18	79.17	10.04	
18.	B10_2.tif	1	19	140.09	13.36	
19.	B10_2.tif	1	20	117.64	12.24	
20.	B10_2.tif	1	21	198.10	15.88	
21.	B10_2.tif	1	22	195.80	15.79	
22.	B10_2.tif	1	23	64.25	9.04	




