Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B1_1.tif	1	1	55.27	8.39	
2.	B1_1.tif	1	2	127.96	12.76	
3.	B1_1.tif	1	3	125.54	12.64	
4.	B1_1.tif	1	4	101.51	11.37	
5.	B1_1.tif	1	5	101.00	11.34	
6.	B1_1.tif	1	6	223.85	16.88	
7.	B1_1.tif	1	7	85.05	10.41	
8.	B1_1.tif	1	8	79.25	10.04	
9.	B1_1.tif	1	9	66.54	9.20	
10.	B1_1.tif	1	10	138.00	13.26	
11.	B1_1.tif	1	11	133.14	13.02	
12.	B1_1.tif	1	12	177.93	15.05	
13.	B1_1.tif	1	13	74.86	9.76	
14.	B1_1.tif	1	14	92.77	10.87		
1.	B1_2.tif	1	1	139.90	13.35	
2.	B1_2.tif	1	2	113.94	12.04	
3.	B1_2.tif	1	3	119.41	12.33	
4.	B1_2.tif	1	4	92.63	10.86	
5.	B1_2.tif	1	5	67.65	9.28	
6.	B1_2.tif	1	6	69.18	9.39	
7.	B1_2.tif	1	7	87.14	10.53	
8.	B1_2.tif	1	8	64.62	9.07	
9.	B1_2.tif	1	9	82.33	10.24	
10.	B1_2.tif	1	10	99.97	11.28	
11.	B1_2.tif	1	11	90.18	10.72	
12.	B1_2.tif	1	12	187.06	15.43	
13.	B1_2.tif	1	13	96.81	11.10	
14.	B1_2.tif	1	14	77.87	9.96	
15.	B1_2.tif	1	15	56.43	8.48	
16.	B1_2.tif	1	16	104.25	11.52	
17.	B1_2.tif	1	17	113.28	12.01	
18.	B1_2.tif	1	18	82.12	10.23	
19.	B1_2.tif	1	19	105.02	11.56	
20.	B1_2.tif	1	20	167.97	14.62	
21.	B1_2.tif	1	21	87.75	10.57	
22.	B1_2.tif	1	22	103.17	11.46	
23.	B1_2.tif	1	23	70.48	9.47	
24.	B1_2.tif	1	24	94.30	10.96	
25.	B1_2.tif	1	25	132.14	12.97	
26.	B1_2.tif	1	26	187.48	15.45	
27.	B1_2.tif	1	27	117.56	12.23	
28.	B1_2.tif	1	28	140.90	13.39	
29.	B1_2.tif	1	29	118.56	12.29	
30.	B1_2.tif	1	30	144.76	13.58	
31.	B1_2.tif	1	31	45.31	7.60	
32.	B1_2.tif	1	32	150.59	13.85	
33.	B1_2.tif	1	33	90.55	10.74	
34.	B1_2.tif	1	34	133.96	13.06	
35.	B1_2.tif	1	35	77.69	9.95	
36.	B1_2.tif	1	36	174.20	14.89	
37.	B1_2.tif	1	37	132.90	13.01	
38.	B1_2.tif	1	38	110.48	11.86	
39.	B1_2.tif	1	39	73.52	9.67	
40.	B1_2.tif	1	40	83.15	10.29	



