Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	C5_1.tif	1	1	58.97	8.66	
2.	C5_1.tif	1	2	68.89	9.37	
3.	C5_1.tif	1	3	96.99	11.11	
4.	C5_1.tif	1	4	98.26	11.19	
5.	C5_1.tif	1	5	84.79	10.39	
6.	C5_1.tif	1	6	78.66	10.01	
7.	C5_1.tif	1	7	78.29	9.98	
8.	C5_1.tif	1	8	93.19	10.89	
9.	C5_1.tif	1	9	53.90	8.28	
10.	C5_1.tif	1	10	55.06	8.37	
11.	C5_1.tif	1	11	72.80	9.63	
12.	C5_1.tif	1	12	101.11	11.35	
13.	C5_1.tif	1	13	81.09	10.16	
14.	C5_1.tif	1	14	79.19	10.04	
15.	C5_1.tif	1	15	46.18	7.67	
16.	C5_1.tif	1	16	52.84	8.20	
17.	C5_1.tif	1	17	71.53	9.54	
18.	C5_1.tif	1	18	51.78	8.12	
19.	C5_1.tif	1	19	70.56	9.48	
20.	C5_1.tif	1	20	38.21	6.97	
21.	C5_1.tif	1	21	93.93	10.94	
22.	C5_1.tif	1	22	64.48	9.06	
23.	C5_1.tif	1	23	79.40	10.05	
24.	C5_1.tif	1	24	77.37	9.93	
25.	C5_1.tif	1	25	80.28	10.11	
26.	C5_1.tif	1	26	98.60	11.20	
27.	C5_1.tif	1	27	98.26	11.19	
28.	C5_1.tif	1	28	112.12	11.95	
29.	C5_1.tif	1	29	75.92	9.83	
30.	C5_1.tif	1	30	85.95	10.46	
31.	C5_1.tif	1	31	90.28	10.72	
32.	C5_1.tif	1	32	74.49	9.74	
33.	C5_1.tif	1	33	68.89	9.37		
1.	C5_2.tif	1	1	70.35	9.46	
2.	C5_2.tif	1	2	58.75	8.65	
3.	C5_2.tif	1	3	79.98	10.09	
4.	C5_2.tif	1	4	69.00	9.37	
5.	C5_2.tif	1	5	102.96	11.45	
6.	C5_2.tif	1	6	95.56	11.03	
7.	C5_2.tif	1	7	94.46	10.97	
8.	C5_2.tif	1	8	58.89	8.66	
9.	C5_2.tif	1	9	105.73	11.60	
10.	C5_2.tif	1	10	71.61	9.55	
11.	C5_2.tif	1	11	82.28	10.24	
12.	C5_2.tif	1	12	94.35	10.96	
13.	C5_2.tif	1	13	101.82	11.39	
14.	C5_2.tif	1	14	142.33	13.46	
15.	C5_2.tif	1	15	54.03	8.29	
16.	C5_2.tif	1	16	97.02	11.11	
17.	C5_2.tif	1	17	97.62	11.15	
18.	C5_2.tif	1	18	107.26	11.69	
19.	C5_2.tif	1	19	71.53	9.54	
20.	C5_2.tif	1	20	109.77	11.82	
21.	C5_2.tif	1	21	51.91	8.13	
22.	C5_2.tif	1	22	86.67	10.50	
23.	C5_2.tif	1	23	68.97	9.37	
24.	C5_2.tif	1	24	117.59	12.24	
25.	C5_2.tif	1	25	127.70	12.75	
26.	C5_2.tif	1	26	73.96	9.70	
27.	C5_2.tif	1	27	76.63	9.88	
28.	C5_2.tif	1	28	69.98	9.44	
29.	C5_2.tif	1	29	96.15	11.06	
30.	C5_2.tif	1	30	66.46	9.20	
31.	C5_2.tif	1	31	98.39	11.19	
32.	C5_2.tif	1	32	93.69	10.92	
33.	C5_2.tif	1	33	104.78	11.55	
34.	C5_2.tif	1	34	58.44	8.63	
35.	C5_2.tif	1	35	73.36	9.66	
36.	C5_2.tif	1	36	85.42	10.43	
37.	C5_2.tif	1	37	70.90	9.50	
38.	C5_2.tif	1	38	79.14	10.04	


