Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	C2_1.tif	1	1	85.48	10.43	
2.	C2_1.tif	1	2	121.63	12.44	
3.	C2_1.tif	1	3	53.21	8.23	
4.	C2_1.tif	1	4	86.67	10.50	
5.	C2_1.tif	1	5	59.70	8.72	
6.	C2_1.tif	1	6	52.36	8.17	
7.	C2_1.tif	1	7	154.03	14.00	
8.	C2_1.tif	1	8	128.36	12.78	
9.	C2_1.tif	1	9	80.01	10.09	
10.	C2_1.tif	1	10	125.72	12.65	
11.	C2_1.tif	1	11	67.92	9.30	
12.	C2_1.tif	1	12	70.87	9.50	
13.	C2_1.tif	1	13	56.43	8.48	
14.	C2_1.tif	1	14	45.34	7.60	
15.	C2_1.tif	1	15	87.91	10.58	
16.	C2_1.tif	1	16	42.38	7.35	
17.	C2_1.tif	1	17	60.44	8.77	
18.	C2_1.tif	1	18	75.97	9.84	
19.	C2_1.tif	1	19	54.63	8.34	
20.	C2_1.tif	1	20	93.24	10.90	
21.	C2_1.tif	1	21	47.03	7.74	
22.	C2_1.tif	1	22	54.26	8.31	
23.	C2_1.tif	1	23	68.23	9.32	
24.	C2_1.tif	1	24	82.33	10.24	
25.	C2_1.tif	1	25	61.29	8.83	
26.	C2_1.tif	1	26	66.46	9.20	
27.	C2_1.tif	1	27	83.71	10.32	
28.	C2_1.tif	1	28	70.32	9.46	
29.	C2_1.tif	1	29	63.19	8.97	
30.	C2_1.tif	1	30	93.03	10.88	
31.	C2_1.tif	1	31	69.08	9.38	
32.	C2_1.tif	1	32	57.22	8.54	
33.	C2_1.tif	1	33	69.53	9.41	
34.	C2_1.tif	1	34	85.45	10.43	
35.	C2_1.tif	1	35	61.53	8.85	
36.	C2_1.tif	1	36	109.61	11.81	
37.	C2_1.tif	1	37	59.15	8.68	
38.	C2_1.tif	1	38	55.19	8.38	
39.	C2_1.tif	1	39	66.70	9.22	
40.	C2_1.tif	1	40	54.58	8.34	
41.	C2_1.tif	1	41	96.01	11.06		
1.	C2_2.tif	1	1	56.77	8.50	
2.	C2_2.tif	1	2	60.31	8.76	
3.	C2_2.tif	1	3	70.48	9.47	
4.	C2_2.tif	1	4	56.14	8.45	
5.	C2_2.tif	1	5	60.13	8.75	
6.	C2_2.tif	1	6	71.40	9.53	
7.	C2_2.tif	1	7	85.27	10.42	
8.	C2_2.tif	1	8	74.78	9.76	
9.	C2_2.tif	1	9	72.62	9.62	
10.	C2_2.tif	1	10	84.66	10.38	
11.	C2_2.tif	1	11	71.80	9.56	
12.	C2_2.tif	1	12	51.36	8.09	
13.	C2_2.tif	1	13	60.07	8.75	
14.	C2_2.tif	1	14	81.23	10.17	
15.	C2_2.tif	1	15	129.23	12.83	
16.	C2_2.tif	1	16	49.99	7.98	
17.	C2_2.tif	1	17	66.70	9.22	
18.	C2_2.tif	1	18	94.38	10.96	
19.	C2_2.tif	1	19	80.62	10.13	
20.	C2_2.tif	1	20	101.00	11.34	
21.	C2_2.tif	1	21	45.87	7.64	
22.	C2_2.tif	1	22	58.33	8.62	
23.	C2_2.tif	1	23	94.69	10.98	
24.	C2_2.tif	1	24	85.74	10.45	
25.	C2_2.tif	1	25	45.60	7.62	
26.	C2_2.tif	1	26	65.96	9.16	
27.	C2_2.tif	1	27	105.99	11.62	
28.	C2_2.tif	1	28	81.60	10.19	
29.	C2_2.tif	1	29	60.29	8.76	
30.	C2_2.tif	1	30	81.33	10.18	
31.	C2_2.tif	1	31	70.00	9.44	
32.	C2_2.tif	1	32	47.95	7.81	
33.	C2_2.tif	1	33	76.45	9.87	
34.	C2_2.tif	1	34	81.30	10.17	
35.	C2_2.tif	1	35	56.96	8.52	
36.	C2_2.tif	1	36	53.66	8.27	
37.	C2_2.tif	1	37	124.14	12.57	
38.	C2_2.tif	1	38	73.38	9.67	
39.	C2_2.tif	1	39	63.06	8.96	
40.	C2_2.tif	1	40	61.63	8.86	
41.	C2_2.tif	1	41	59.52	8.71	
42.	C2_2.tif	1	42	78.40	9.99	
43.	C2_2.tif	1	43	106.92	11.67	
44.	C2_2.tif	1	44	58.70	8.65	
45.	C2_2.tif	1	45	78.00	9.97	
46.	C2_2.tif	1	46	52.15	8.15	
47.	C2_2.tif	1	47	52.60	8.18	
48.	C2_2.tif	1	48	69.95	9.44	
49.	C2_2.tif	1	49	65.73	9.15	
50.	C2_2.tif	1	50	93.45	10.91	



