Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	C6_1.tif	1	1	92.40	10.85	
2.	C6_1.tif	1	2	168.47	14.65	
3.	C6_1.tif	1	3	154.98	14.05	
4.	C6_1.tif	1	4	126.54	12.69	
5.	C6_1.tif	1	5	217.59	16.64	
6.	C6_1.tif	1	6	95.09	11.00	
7.	C6_1.tif	1	7	146.19	13.64	
8.	C6_1.tif	1	8	128.20	12.78	
9.	C6_1.tif	1	9	224.00	16.89	
10.	C6_1.tif	1	10	176.05	14.97	
11.	C6_1.tif	1	11	198.84	15.91	
12.	C6_1.tif	1	12	115.66	12.14	
13.	C6_1.tif	1	13	147.37	13.70	
14.	C6_1.tif	1	15	178.06	15.06	
15.	C6_1.tif	1	16	154.82	14.04	
16.	C6_1.tif	1	17	138.05	13.26	
17.	C6_1.tif	1	18	87.64	10.56	
18.	C6_1.tif	1	19	192.95	15.67	
19.	C6_1.tif	1	20	124.53	12.59	
20.	C6_1.tif	1	21	104.86	11.55	
21.	C6_1.tif	1	22	99.87	11.28		
1.	C6_2.tif	1	1	114.42	12.07	
2.	C6_2.tif	1	2	150.86	13.86	
3.	C6_2.tif	1	3	163.24	14.42	
4.	C6_2.tif	1	4	93.03	10.88	
5.	C6_2.tif	1	5	178.24	15.06	
6.	C6_2.tif	1	6	146.74	13.67	
7.	C6_2.tif	1	7	184.69	15.33	
8.	C6_2.tif	1	8	165.86	14.53	
9.	C6_2.tif	1	9	173.04	14.84	
10.	C6_2.tif	1	10	82.73	10.26	
11.	C6_2.tif	1	11	82.70	10.26	
12.	C6_2.tif	1	12	130.21	12.88	
13.	C6_2.tif	1	13	134.49	13.09	
14.	C6_2.tif	1	14	192.18	15.64	
15.	C6_2.tif	1	15	130.68	12.90	




