Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B6_1.tif	1	1	75.50	9.80	
2.	B6_1.tif	1	2	93.95	10.94	
3.	B6_1.tif	1	3	109.37	11.80	
4.	B6_1.tif	1	4	70.48	9.47	
5.	B6_1.tif	1	5	79.93	10.09	
6.	B6_1.tif	1	6	102.72	11.44	
7.	B6_1.tif	1	7	84.10	10.35	
8.	B6_1.tif	1	8	79.61	10.07	
9.	B6_1.tif	1	9	115.77	12.14	
10.	B6_1.tif	1	10	75.39	9.80	
11.	B6_1.tif	1	11	94.27	10.96	
12.	B6_1.tif	1	12	121.71	12.45	
13.	B6_1.tif	1	13	94.01	10.94	
14.	B6_1.tif	1	14	127.25	12.73	
15.	B6_1.tif	1	15	56.35	8.47	
16.	B6_1.tif	1	16	82.31	10.24	
17.	B6_1.tif	1	17	73.49	9.67	
18.	B6_1.tif	1	18	66.68	9.21	
19.	B6_1.tif	1	19	95.43	11.02	
20.	B6_1.tif	1	20	91.87	10.82	
21.	B6_1.tif	1	21	96.75	11.10	
22.	B6_1.tif	1	22	103.25	11.47	
23.	B6_1.tif	1	23	107.63	11.71	
24.	B6_1.tif	1	24	81.91	10.21	
25.	B6_1.tif	1	25	98.60	11.20	
26.	B6_1.tif	1	26	79.77	10.08	
27.	B6_1.tif	1	27	91.37	10.79		
1.	B6_2.tif	1	1	82.07	10.22	
2.	B6_2.tif	1	2	96.62	11.09	
3.	B6_2.tif	1	3	95.75	11.04	
4.	B6_2.tif	1	4	53.90	8.28	
5.	B6_2.tif	1	5	87.06	10.53	
6.	B6_2.tif	1	6	112.41	11.96	
7.	B6_2.tif	1	7	113.71	12.03	
8.	B6_2.tif	1	8	149.72	13.81	
9.	B6_2.tif	1	9	83.29	10.30	
10.	B6_2.tif	1	10	77.08	9.91	
11.	B6_2.tif	1	11	79.93	10.09	
12.	B6_2.tif	1	12	61.24	8.83	
13.	B6_2.tif	1	13	97.73	11.15	
14.	B6_2.tif	1	14	122.92	12.51	
15.	B6_2.tif	1	15	94.24	10.95	
16.	B6_2.tif	1	16	106.10	11.62	
17.	B6_2.tif	1	17	100.42	11.31	
18.	B6_2.tif	1	18	86.90	10.52	
19.	B6_2.tif	1	19	102.80	11.44	
20.	B6_2.tif	1	20	101.85	11.39	
21.	B6_2.tif	1	21	57.91	8.59	
22.	B6_2.tif	1	22	105.12	11.57	
23.	B6_2.tif	1	23	99.63	11.26	
24.	B6_2.tif	1	24	100.77	11.33	
25.	B6_2.tif	1	25	94.93	10.99	
26.	B6_2.tif	1	26	89.75	10.69	
27.	B6_2.tif	1	27	103.64	11.49	




