Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B8_2.tif	1	1	117.56	12.23	
2.	B8_2.tif	1	2	145.08	13.59	
3.	B8_2.tif	1	3	139.13	13.31	
4.	B8_2.tif	1	4	96.30	11.07	
5.	B8_2.tif	1	5	144.34	13.56	
6.	B8_2.tif	1	6	91.18	10.77	
8.	B8_2.tif	1	8	217.61	16.65	
9.	B8_2.tif	1	9	120.81	12.40	
10.	B8_2.tif	1	10	91.47	10.79	
11.	B8_2.tif	1	11	101.88	11.39		
1.	B8_1.tif	1	1	123.66	12.55	
2.	B8_1.tif	1	2	51.49	8.10	
3.	B8_1.tif	1	3	44.92	7.56	
4.	B8_1.tif	1	4	93.21	10.89	
5.	B8_1.tif	1	5	66.78	9.22	
6.	B8_1.tif	1	6	59.12	8.68	
7.	B8_1.tif	1	7	43.73	7.46	



