Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B5_1.tif	1	1	71.98	9.57	
2.	B5_1.tif	1	2	104.62	11.54	
3.	B5_1.tif	1	3	124.45	12.59	
4.	B5_1.tif	1	4	108.71	11.77	
5.	B5_1.tif	1	5	93.95	10.94	
6.	B5_1.tif	1	6	94.67	10.98	
7.	B5_1.tif	1	7	78.51	10.00	
8.	B5_1.tif	1	8	82.97	10.28	
9.	B5_1.tif	1	9	84.68	10.38	
10.	B5_1.tif	1	10	102.32	11.41	
11.	B5_1.tif	1	11	80.01	10.09	
12.	B5_1.tif	1	12	91.31	10.78	
13.	B5_1.tif	1	13	93.58	10.92	
14.	B5_1.tif	1	14	70.40	9.47	
15.	B5_1.tif	1	15	80.35	10.11	
16.	B5_1.tif	1	16	118.41	12.28	
17.	B5_1.tif	1	17	72.30	9.59	
18.	B5_1.tif	1	18	134.83	13.10	
19.	B5_1.tif	1	19	96.70	11.10	
20.	B5_1.tif	1	20	111.25	11.90	
21.	B5_1.tif	1	21	82.99	10.28	
22.	B5_1.tif	1	22	94.01	10.94	
23.	B5_1.tif	1	23	88.51	10.62	
24.	B5_1.tif	1	24	52.84	8.20	
25.	B5_1.tif	1	25	139.37	13.32		
1.	B5_2.tif	1	1	96.04	11.06	
2.	B5_2.tif	1	2	154.64	14.03	
3.	B5_2.tif	1	3	85.24	10.42	
4.	B5_2.tif	1	4	68.37	9.33	
5.	B5_2.tif	1	5	108.85	11.77	
6.	B5_2.tif	1	6	155.22	14.06	
7.	B5_2.tif	1	7	102.98	11.45	
8.	B5_2.tif	1	8	138.74	13.29	
9.	B5_2.tif	1	9	103.67	11.49	
10.	B5_2.tif	1	10	72.59	9.61	
11.	B5_2.tif	1	11	93.56	10.91	
12.	B5_2.tif	1	12	85.56	10.44	
13.	B5_2.tif	1	13	75.34	9.79	
14.	B5_2.tif	1	14	164.93	14.49	
15.	B5_2.tif	1	15	61.32	8.84	
16.	B5_2.tif	1	16	113.78	12.04	
17.	B5_2.tif	1	17	147.74	13.72	
18.	B5_2.tif	1	18	106.55	11.65	
19.	B5_2.tif	1	19	94.11	10.95	
20.	B5_2.tif	1	20	82.10	10.22	
21.	B5_2.tif	1	21	118.01	12.26	
22.	B5_2.tif	1	22	77.50	9.93	
23.	B5_2.tif	1	23	109.64	11.82	
24.	B5_2.tif	1	24	85.74	10.45	
25.	B5_2.tif	1	25	75.36	9.80	
26.	B5_2.tif	1	26	66.15	9.18	
27.	B5_2.tif	1	27	71.27	9.53	
28.	B5_2.tif	1	28	128.55	12.79	
29.	B5_2.tif	1	29	74.20	9.72	
30.	B5_2.tif	1	30	85.74	10.45	
31.	B5_2.tif	1	31	74.25	9.72	
32.	B5_2.tif	1	32	77.37	9.93	
33.	B5_2.tif	1	33	89.17	10.66	
34.	B5_2.tif	1	34	121.73	12.45	
35.	B5_2.tif	1	35	91.71	10.81	




