Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B11_1.tif	1	1	90.05	10.71	
2.	B11_1.tif	1	2	84.18	10.35	
3.	B11_1.tif	1	3	132.11	12.97	
4.	B11_1.tif	1	4	133.83	13.05	
5.	B11_1.tif	1	5	149.96	13.82	
6.	B11_1.tif	1	6	92.24	10.84	
7.	B11_1.tif	1	7	104.81	11.55	
8.	B11_1.tif	1	8	90.71	10.75	
9.	B11_1.tif	1	9	82.94	10.28	
10.	B11_1.tif	1	10	89.49	10.67	
11.	B11_1.tif	1	11	141.04	13.40	
12.	B11_1.tif	1	12	117.38	12.22	
13.	B11_1.tif	1	13	128.26	12.78	
14.	B11_1.tif	1	14	101.08	11.34	
15.	B11_1.tif	1	15	108.66	11.76	
16.	B11_1.tif	1	16	167.44	14.60	
17.	B11_1.tif	1	17	103.86	11.50	
18.	B11_1.tif	1	18	146.29	13.65	
19.	B11_1.tif	1	19	131.87	12.96		
1.	B11_2.tif	1	1	155.40	14.07	
2.	B11_2.tif	1	2	109.08	11.79	
3.	B11_2.tif	1	3	129.44	12.84	
4.	B11_2.tif	1	4	119.75	12.35	
5.	B11_2.tif	1	5	102.72	11.44	
6.	B11_2.tif	1	6	157.51	14.16	
7.	B11_2.tif	1	7	145.58	13.61	
8.	B11_2.tif	1	8	78.19	9.98	
9.	B11_2.tif	1	9	102.80	11.44	
10.	B11_2.tif	1	10	77.34	9.92	
11.	B11_2.tif	1	11	83.10	10.29	
12.	B11_2.tif	1	12	162.16	14.37	



