Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	C3_1.tif	1	1	170.61	14.74	
2.	C3_1.tif	1	2	119.36	12.33	
3.	C3_1.tif	1	3	69.18	9.39	
4.	C3_1.tif	1	4	70.35	9.46	
5.	C3_1.tif	1	5	95.75	11.04	
6.	C3_1.tif	1	6	88.09	10.59	
7.	C3_1.tif	1	7	253.13	17.95	
8.	C3_1.tif	1	8	175.31	14.94	
9.	C3_1.tif	1	9	175.26	14.94	
10.	C3_1.tif	1	10	164.41	14.47	
11.	C3_1.tif	1	11	175.15	14.93	
12.	C3_1.tif	1	12	203.12	16.08	
13.	C3_1.tif	1	13	200.48	15.98	
14.	C3_1.tif	1	14	164.19	14.46	
15.	C3_1.tif	1	15	154.19	14.01	
16.	C3_1.tif	1	16	177.08	15.02	
17.	C3_1.tif	1	17	106.23	11.63	
18.	C3_1.tif	1	18	163.09	14.41	
19.	C3_1.tif	1	19	130.47	12.89	
20.	C3_1.tif	1	20	107.42	11.69	
21.	C3_1.tif	1	21	127.23	12.73		
1.	C3_2.tif	1	1	142.12	13.45	
2.	C3_2.tif	1	2	211.04	16.39	
3.	C3_2.tif	1	3	122.53	12.49	
4.	C3_2.tif	1	4	122.53	12.49	
5.	C3_2.tif	1	6	106.87	11.66	
6.	C3_2.tif	1	7	81.23	10.17	
7.	C3_2.tif	1	8	189.86	15.55	
8.	C3_2.tif	1	9	113.39	12.02	
9.	C3_2.tif	1	10	101.24	11.35	
10.	C3_2.tif	1	11	128.68	12.80	
11.	C3_2.tif	1	12	167.23	14.59	


