Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B12_1.tif	1	1	173.89	14.88	
2.	B12_1.tif	1	2	145.97	13.63	
3.	B12_1.tif	1	3	173.83	14.88	
4.	B12_1.tif	1	4	296.99	19.45	
5.	B12_1.tif	1	5	281.68	18.94	
6.	B12_1.tif	1	6	120.36	12.38	
7.	B12_1.tif	1	7	199.29	15.93	
8.	B12_1.tif	1	8	164.75	14.48	
9.	B12_1.tif	1	9	124.74	12.60			
2.	B12_2.tif	1	2	109.98	11.83	
3.	B12_2.tif	1	3	153.97	14.00	
4.	B12_2.tif	1	4	115.95	12.15	
5.	B12_2.tif	1	5	146.79	13.67	
6.	B12_2.tif	1	6	120.15	12.37	
7.	B12_2.tif	1	7	175.63	14.95	
8.	B12_2.tif	1	8	92.79	10.87	
9.	B12_2.tif	1	9	157.94	14.18	
10.	B12_2.tif	1	10	193.90	15.71	
11.	B12_2.tif	1	11	184.45	15.32	
12.	B12_2.tif	1	12	175.34	14.94	
13.	B12_2.tif	1	13	134.75	13.10	
14.	B12_2.tif	1	14	120.23	12.37	




