Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B2_1.tif	1	1	67.26	9.25	
2.	B2_1.tif	1	2	76.53	9.87	
3.	B2_1.tif	1	3	79.69	10.07	
4.	B2_1.tif	1	4	68.45	9.34	
5.	B2_1.tif	1	5	102.35	11.42	
6.	B2_1.tif	1	6	62.87	8.95	
7.	B2_1.tif	1	7	79.38	10.05	
8.	B2_1.tif	1	8	113.47	12.02	
9.	B2_1.tif	1	9	56.27	8.46	
10.	B2_1.tif	1	10	101.22	11.35	
11.	B2_1.tif	1	11	143.65	13.52	
12.	B2_1.tif	1	12	123.74	12.55	
13.	B2_1.tif	1	13	105.41	11.59	
14.	B2_1.tif	1	14	101.32	11.36	
15.	B2_1.tif	1	15	96.59	11.09	
16.	B2_1.tif	1	16	76.39	9.86	
17.	B2_1.tif	1	17	43.81	7.47	
18.	B2_1.tif	1	18	57.72	8.57	
19.	B2_1.tif	1	19	88.62	10.62	
20.	B2_1.tif	1	20	59.10	8.67	
21.	B2_1.tif	1	21	70.66	9.49	
22.	B2_1.tif	1	22	46.58	7.70		
1.	B2_2.tif	1	1	41.75	7.29	
2.	B2_2.tif	1	2	56.51	8.48	
3.	B2_2.tif	1	3	47.56	7.78	
4.	B2_2.tif	1	4	119.65	12.34	
5.	B2_2.tif	1	5	95.85	11.05	
6.	B2_2.tif	1	6	71.53	9.54	
7.	B2_2.tif	1	7	59.31	8.69	
8.	B2_2.tif	1	8	123.29	12.53	
9.	B2_2.tif	1	9	68.45	9.34	
10.	B2_2.tif	1	10	77.53	9.94	
11.	B2_2.tif	1	11	73.17	9.65	
12.	B2_2.tif	1	12	100.32	11.30	
13.	B2_2.tif	1	13	93.40	10.91	
14.	B2_2.tif	1	14	121.44	12.43	
15.	B2_2.tif	1	15	96.12	11.06	
16.	B2_2.tif	1	16	85.77	10.45	
17.	B2_2.tif	1	17	86.51	10.49	



