Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	C4_1.tif	1	1	139.11	13.31	
2.	C4_1.tif	1	2	162.45	14.38	
3.	C4_1.tif	1	3	93.90	10.93	
4.	C4_1.tif	1	4	282.26	18.96	
5.	C4_1.tif	1	5	93.95	10.94	
6.	C4_1.tif	1	6	214.63	16.53	
7.	C4_1.tif	1	7	140.82	13.39	
8.	C4_1.tif	1	8	176.47	14.99	
9.	C4_1.tif	1	9	90.84	10.75	
10.	C4_1.tif	1	10	152.44	13.93	
11.	C4_1.tif	1	11	126.04	12.67	
12.	C4_1.tif	1	12	83.84	10.33	
13.	C4_1.tif	1	13	112.49	11.97	
14.	C4_1.tif	1	14	18.75	4.89	
15.	C4_1.tif	1	15	183.02	15.27	
16.	C4_1.tif	1	16	207.32	16.25	
17.	C4_1.tif	1	17	115.29	12.12	
18.	C4_1.tif	1	18	118.04	12.26	
19.	C4_1.tif	1	19	113.81	12.04	
20.	C4_1.tif	1	20	125.93	12.66	
21.	C4_1.tif	1	21	138.74	13.29	
22.	C4_1.tif	1	22	111.04	11.89	
23.	C4_1.tif	1	23	146.32	13.65	
24.	C4_1.tif	1	24	173.46	14.86	
25.	C4_1.tif	1	25	112.62	11.97	
26.	C4_1.tif	1	26	98.44	11.20	
27.	C4_1.tif	1	27	133.54	13.04	
28.	C4_1.tif	1	28	184.92	15.34	
29.	C4_1.tif	1	29	119.59	12.34	
30.	C4_1.tif	1	30	90.97	10.76	
31.	C4_1.tif	1	31	134.20	13.07	
32.	C4_1.tif	1	32	260.39	18.21		
1.	C4_2.tif	1	1	239.61	17.47	
2.	C4_2.tif	1	2	122.05	12.47	
3.	C4_2.tif	1	3	224.19	16.90	
4.	C4_2.tif	1	4	91.10	10.77	
5.	C4_2.tif	1	5	93.85	10.93	
6.	C4_2.tif	1	6	167.02	14.58	
7.	C4_2.tif	1	7	143.07	13.50	
8.	C4_2.tif	1	8	194.14	15.72	
9.	C4_2.tif	1	9	117.11	12.21	
10.	C4_2.tif	1	10	144.10	13.55	
11.	C4_2.tif	1	11	134.96	13.11	
12.	C4_2.tif	1	12	158.57	14.21	
13.	C4_2.tif	1	13	242.86	17.58	
14.	C4_2.tif	1	14	35.33	6.71	
15.	C4_2.tif	1	15	106.68	11.65	
16.	C4_2.tif	1	16	179.35	15.11	
17.	C4_2.tif	1	17	221.79	16.80	
18.	C4_2.tif	1	18	101.72	11.38	
19.	C4_2.tif	1	19	117.14	12.21	
20.	C4_2.tif	1	20	177.90	15.05	
21.	C4_2.tif	1	21	126.93	12.71	
22.	C4_2.tif	1	22	159.44	14.25	
23.	C4_2.tif	1	23	143.83	13.53	
24.	C4_2.tif	1	24	137.76	13.24	
25.	C4_2.tif	1	25	144.68	13.57	
26.	C4_2.tif	1	26	107.74	11.71	
27.	C4_2.tif	1	27	126.78	12.70	
28.	C4_2.tif	1	28	155.35	14.06	
29.	C4_2.tif	1	29	164.27	14.46	
30.	C4_2.tif	1	30	118.88	12.30	
31.	C4_2.tif	1	31	153.53	13.98	
32.	C4_2.tif	1	32	107.02	11.67	
33.	C4_2.tif	1	33	118.17	12.27	
34.	C4_2.tif	1	34	169.53	14.69	
35.	C4_2.tif	1	35	153.63	13.99	
36.	C4_2.tif	1	36	107.45	11.70	
37.	C4_2.tif	1	37	131.05	12.92	
38.	C4_2.tif	1	38	89.46	10.67	
39.	C4_2.tif	1	39	112.02	11.94	


