Item	Source	FieldID	ObjID	Area	EqDiameter
1	2n_1.tif	1	1	115.66	12.14
2	2n_1.tif	1	2	84.71	10.39
3	2n_1.tif	1	3	87.43	10.55
4	2n_1.tif	1	4	79.03	10.03
5	2n_1.tif	1	6	97.07	11.12
6	2n_1.tif	1	7	101.32	11.36
7	2n_1.tif	1	8	84.9	10.4
8	2n_1.tif	1	9	96.04	11.06
9	2n_1.tif	1	10	89.33	10.66
10	2n_1.tif	1	11	78.35	9.99
11	2n_1.tif	1	12	105.6	11.6
12	2n_1.tif	1	13	83.44	10.31
13	2n_1.tif	1	14	99.53	11.26
14	2n_1.tif	1	15	113.97	12.05
15	2n_1.tif	1	16	90.02	10.71
16	2n_1.tif	1	17	100	11.28
17	2n_1.tif	1	18	105.41	11.59
18	2n_1.tif	1	19	80.7	10.14
19	2n_1.tif	1	20	86.48	10.49
20	2n_1.tif	1	21	92.18	10.83
21	2n_1.tif	1	22	93.45	10.91
22	2n_1.tif	1	23	90.31	10.72
23	2n_1.tif	1	25	96.99	11.11
24	2n_1.tif	1	26	96.94	11.11
25	2n_1.tif	1	27	83.92	10.34
26	2n_1.tif	1	28	94.69	10.98
27	2n_1.tif	1	30	94.22	10.95
28	2n_1.tif	1	32	90.44	10.73
29	2n_1.tif	1	33	109.48	11.81
30	2n_1.tif	1	34	96.28	11.07
31	2n_1.tif	1	35	79.93	10.09
32	2n_1.tif	1	36	108.56	11.76
33	2n_1.tif	1	37	114.39	12.07
34	2n_1.tif	1	38	105.86	11.61
35	2n_1.tif	1	39	86.16	10.47
36	2n_1.tif	1	40	115.77	12.14
37	2n_1.tif	1	41	135.91	13.15
38	2n_1.tif	1	42	127.99	12.77
39	2n_1.tif	1	43	87.43	10.55
40	2n_1.tif	1	44	90.84	10.75
41	2n_1.tif	1	45	108.16	11.74
42	2n_1.tif	1	46	80.43	10.12
43	2n_1.tif	1	47	98.15	11.18
44	2n_1.tif	1	48	91.52	10.8
45	2n_1.tif	1	49	90.86	10.76
46	2n_1.tif	1	51	91.34	10.78
47	2n_1.tif	1	52	106.87	11.66
48	2n_1.tif	1	53	120.44	12.38
49	2n_1.tif	1	54	94.9	10.99
50	2n_1.tif	1	55	80.46	10.12
51	2n_1.tif	1	56	115.26	12.11
52	2n_1.tif	1	57	132.11	12.97
53	2n_1.tif	1	58	98.39	11.19
54	2n_1.tif	1	59	115.74	12.14
55	2n_1.tif	1	60	86.27	10.48
56	2n_1.tif	1	61	82.99	10.28
57	2n_1.tif	1	62	78.74	10.01
58	2n_1.tif	1	64	92.98	10.88
59	2n_1.tif	1	65	131.58	12.94
60	2n_1.tif	1	66	94.09	10.95
61	2n_1.tif	1	67	90.6	10.74
62	2n_1.tif	1	68	92.21	10.84
63	2n_1.tif	1	69	104.28	11.52
64	2n_1.tif	1	70	95.22	11.01
1	2n_2.tif	1	1	97.12	11.12
2	2n_2.tif	1	2	87.72	10.57
