Item	Source	FieldID	ObjID	Area	EqDiameter
3	2n_2.tif	1	3	67.12	9.24
4	2n_2.tif	1	5	116.87	12.2
5	2n_2.tif	1	6	94.01	10.94
6	2n_2.tif	1	7	72.59	9.61
7	2n_2.tif	1	8	71.8	9.56
8	2n_2.tif	1	9	86.82	10.51
9	2n_2.tif	1	11	77.58	9.94
10	2n_2.tif	1	12	65.36	9.12
11	2n_2.tif	1	13	132.96	13.01
12	2n_2.tif	1	14	65.7	9.15
13	2n_2.tif	1	18	115.53	12.13
14	2n_2.tif	1	19	123.42	12.54
15	2n_2.tif	1	20	86.77	10.51
16	2n_2.tif	1	21	68.6	9.35
17	2n_2.tif	1	22	84.34	10.36
18	2n_2.tif	1	24	92.29	10.84
19	2n_2.tif	1	25	76.16	9.85
20	2n_2.tif	1	26	71.16	9.52
21	2n_2.tif	1	27	82.41	10.24
22	2n_2.tif	1	28	66.54	9.2
23	2n_2.tif	1	29	93.5	10.91
24	2n_2.tif	1	31	86.03	10.47
25	2n_2.tif	1	32	98.65	11.21
26	2n_2.tif	1	33	67.34	9.26
27	2n_2.tif	1	34	83.36	10.3
28	2n_2.tif	1	35	126.01	12.67
29	2n_2.tif	1	37	104.7	11.55
30	2n_2.tif	1	38	91.55	10.8
31	2n_2.tif	1	39	102.54	11.43
32	2n_2.tif	1	40	69.92	9.44
33	2n_2.tif	1	41	74.02	9.71
34	2n_2.tif	1	42	81.6	10.19
35	2n_2.tif	1	43	108.77	11.77
36	2n_2.tif	1	44	108.98	11.78
37	2n_2.tif	1	46	80.75	10.14
38	2n_2.tif	1	47	99.18	11.24
39	2n_2.tif	1	49	95.3	11.02
40	2n_2.tif	1	50	87.27	10.54
41	2n_2.tif	1	51	88.65	10.62
42	2n_2.tif	1	52	94.14	10.95
43	2n_2.tif	1	53	102.51	11.42
44	2n_2.tif	1	55	77.13	9.91
45	2n_2.tif	1	56	77.74	9.95
46	2n_2.tif	1	57	75.36	9.8
47	2n_2.tif	1	58	69.61	9.41
48	2n_2.tif	1	59	83.15	10.29
49	2n_2.tif	1	60	91.74	10.81
50	2n_2.tif	1	61	149.54	13.8
51	2n_2.tif	1	62	94.72	10.98
52	2n_2.tif	1	64	83.26	10.3
53	2n_2.tif	1	65	67.81	9.29
54	2n_2.tif	1	67	80.14	10.1
55	2n_2.tif	1	68	74.12	9.71
56	2n_2.tif	1	70	126.01	12.67
57	2n_2.tif	1	71	93.03	10.88
58	2n_2.tif	1	72	79.51	10.06
59	2n_2.tif	1	73	123.11	12.52
60	2n_2.tif	1	74	121.15	12.42
61	2n_2.tif	1	75	105.49	11.59
62	2n_2.tif	1	76	79.06	10.03
63	2n_2.tif	1	77	77.4	9.93
64	2n_2.tif	1	78	87.25	10.54
65	2n_2.tif	1	79	80.94	10.15
66	2n_2.tif	1	80	113.55	12.02
67	2n_2.tif	1	81	94.93	10.99
68	2n_2.tif	1	82	73.78	9.69
69	2n_2.tif	1	84	133.06	13.02
70	2n_2.tif	1	85	105.55	11.59
71	2n_2.tif	1	86	68.5	9.34
72	2n_2.tif	1	87	79.61	10.07
73	2n_2.tif	1	88	122.45	12.49
74	2n_2.tif	1	90	81.07	10.16
75	2n_2.tif	1	91	72.17	9.59
76	2n_2.tif	1	92	109.01	11.78
77	2n_2.tif	1	93	103.64	11.49
78	2n_2.tif	1	94	87.93	10.58
79	2n_2.tif	1	95	84.63	10.38
