Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B3_1.tif	1	1	67.49	9.27	
2.	B3_1.tif	1	2	77.40	9.93	
3.	B3_1.tif	1	3	53.47	8.25	
4.	B3_1.tif	1	4	72.83	9.63	
5.	B3_1.tif	1	5	59.55	8.71	
6.	B3_1.tif	1	6	69.11	9.38	
7.	B3_1.tif	1	7	66.44	9.20	
8.	B3_1.tif	1	8	59.92	8.73	
9.	B3_1.tif	1	9	96.15	11.06	
10.	B3_1.tif	1	10	63.24	8.97	
11.	B3_1.tif	1	11	68.97	9.37	
12.	B3_1.tif	1	12	78.85	10.02	
13.	B3_1.tif	1	13	92.58	10.86	
14.	B3_1.tif	1	14	67.26	9.25	
15.	B3_1.tif	1	15	94.69	10.98	
16.	B3_1.tif	1	16	52.31	8.16	
17.	B3_1.tif	1	17	64.51	9.06	
18.	B3_1.tif	1	18	80.09	10.10	
19.	B3_1.tif	1	19	76.29	9.86	
20.	B3_1.tif	1	20	73.22	9.66	
21.	B3_1.tif	1	21	63.96	9.02	
22.	B3_1.tif	1	23	58.49	8.63	
23.	B3_1.tif	1	24	73.86	9.70	
24.	B3_1.tif	1	25	62.90	8.95	
25.	B3_1.tif	1	26	96.75	11.10	
26.	B3_1.tif	1	27	56.11	8.45	
27.	B3_1.tif	1	28	73.94	9.70	
28.	B3_1.tif	1	29	60.92	8.81	
29.	B3_1.tif	1	30	92.13	10.83	
30.	B3_1.tif	1	31	102.22	11.41	
31.	B3_1.tif	1	32	59.47	8.70	
32.	B3_1.tif	1	33	73.15	9.65	
33.	B3_1.tif	1	34	68.10	9.31	
34.	B3_1.tif	1	35	76.82	9.89	
35.	B3_1.tif	1	36	89.99	10.70	
36.	B3_1.tif	1	37	61.37	8.84	
37.	B3_1.tif	1	38	81.73	10.20	
38.	B3_1.tif	1	39	62.50	8.92	
39.	B3_1.tif	1	40	70.03	9.44	
40.	B3_1.tif	1	41	76.16	9.85	
41.	B3_1.tif	1	42	112.02	11.94	
42.	B3_1.tif	1	43	100.19	11.29	
43.	B3_1.tif	1	44	110.27	11.85	
44.	B3_1.tif	1	45	65.41	9.13	
45.	B3_1.tif	1	46	65.91	9.16	
46.	B3_1.tif	1	47	71.51	9.54	
47.	B3_1.tif	1	48	74.68	9.75	
48.	B3_1.tif	1	49	73.83	9.70	
49.	B3_1.tif	1	50	71.32	9.53	
50.	B3_1.tif	1	52	63.53	8.99	
51.	B3_1.tif	1	53	77.85	9.96	
52.	B3_1.tif	1	54	74.97	9.77	
53.	B3_1.tif	1	55	62.19	8.90	
54.	B3_1.tif	1	56	68.39	9.33	
55.	B3_1.tif	1	57	71.48	9.54	
56.	B3_1.tif	1	58	71.35	9.53	
57.	B3_1.tif	1	59	94.93	10.99	
58.	B3_1.tif	1	60	64.27	9.05	
59.	B3_1.tif	1	61	82.23	10.23	
60.	B3_1.tif	1	62	75.31	9.79	
61.	B3_1.tif	1	63	83.47	10.31	
62.	B3_1.tif	1	64	66.15	9.18	
63.	B3_1.tif	1	65	73.78	9.69	
64.	B3_1.tif	1	66	77.58	9.94	
65.	B3_1.tif	1	67	84.05	10.34	
66.	B3_1.tif	1	68	84.37	10.36	
67.	B3_1.tif	1	69	76.08	9.84	
68.	B3_1.tif	1	70	88.91	10.64		
1.	B3_2.tif	1	1	88.36	10.61	
2.	B3_2.tif	1	2	68.42	9.33	
3.	B3_2.tif	1	3	71.77	9.56	
4.	B3_2.tif	1	4	47.16	7.75	
5.	B3_2.tif	1	5	22.26	5.32	
6.	B3_2.tif	1	6	86.35	10.49	
7.	B3_2.tif	1	7	61.95	8.88	
8.	B3_2.tif	1	8	54.90	8.36	
9.	B3_2.tif	1	9	86.61	10.50	
10.	B3_2.tif	1	10	62.21	8.90	
11.	B3_2.tif	1	11	115.40	12.12	
12.	B3_2.tif	1	12	108.61	11.76	
13.	B3_2.tif	1	13	69.69	9.42	
14.	B3_2.tif	1	14	70.37	9.47	
15.	B3_2.tif	1	15	73.59	9.68	
16.	B3_2.tif	1	16	77.03	9.90	
17.	B3_2.tif	1	17	76.34	9.86	
18.	B3_2.tif	1	18	102.51	11.42	
19.	B3_2.tif	1	19	60.10	8.75	
20.	B3_2.tif	1	20	88.28	10.60	
21.	B3_2.tif	1	21	67.34	9.26	
22.	B3_2.tif	1	22	79.67	10.07	
23.	B3_2.tif	1	23	75.60	9.81	
24.	B3_2.tif	1	24	43.54	7.45	
25.	B3_2.tif	1	25	109.01	11.78	
26.	B3_2.tif	1	26	92.74	10.87	
27.	B3_2.tif	1	27	67.28	9.26	
28.	B3_2.tif	1	28	82.26	10.23	
29.	B3_2.tif	1	29	36.57	6.82	
30.	B3_2.tif	1	30	52.84	8.20	
31.	B3_2.tif	1	31	92.37	10.84	
32.	B3_2.tif	1	32	92.58	10.86	
33.	B3_2.tif	1	33	50.33	8.01	
34.	B3_2.tif	1	34	77.40	9.93	
35.	B3_2.tif	1	35	55.29	8.39	
36.	B3_2.tif	1	36	99.53	11.26	
37.	B3_2.tif	1	37	67.26	9.25	
38.	B3_2.tif	1	38	51.44	8.09	
39.	B3_2.tif	1	39	85.61	10.44	
40.	B3_2.tif	1	40	70.45	9.47	
41.	B3_2.tif	1	41	101.14	11.35	
42.	B3_2.tif	1	42	47.24	7.76	
43.	B3_2.tif	1	43	62.37	8.91	
44.	B3_2.tif	1	44	105.23	11.58	
45.	B3_2.tif	1	45	78.14	9.97	
46.	B3_2.tif	1	46	56.35	8.47	
47.	B3_2.tif	1	47	63.35	8.98	
48.	B3_2.tif	1	48	78.56	10.00	
49.	B3_2.tif	1	49	67.20	9.25	
50.	B3_2.tif	1	50	70.19	9.45	
51.	B3_2.tif	1	51	89.33	10.66	
52.	B3_2.tif	1	52	87.46	10.55	
53.	B3_2.tif	1	53	73.30	9.66	
54.	B3_2.tif	1	54	119.44	12.33	
55.	B3_2.tif	1	55	42.99	7.40	
56.	B3_2.tif	1	56	73.86	9.70	
57.	B3_2.tif	1	57	72.62	9.62	
58.	B3_2.tif	1	58	81.81	10.21	
59.	B3_2.tif	1	59	66.46	9.20	
60.	B3_2.tif	1	60	100.61	11.32	
61.	B3_2.tif	1	61	65.17	9.11	
62.	B3_2.tif	1	62	82.07	10.22	
63.	B3_2.tif	1	63	59.97	8.74	
	

	

