Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B7_2.tif	1	1	65.43	9.13	
2.	B7_2.tif	1	2	62.37	8.91	
3.	B7_2.tif	1	3	72.01	9.58	
4.	B7_2.tif	1	4	76.55	9.87	
5.	B7_2.tif	1	5	56.98	8.52	
6.	B7_2.tif	1	6	61.10	8.82	
7.	B7_2.tif	1	7	117.40	12.23	
8.	B7_2.tif	1	8	80.28	10.11	
9.	B7_2.tif	1	9	75.39	9.80	
10.	B7_2.tif	1	10	109.45	11.81	
11.	B7_2.tif	1	11	70.14	9.45	
12.	B7_2.tif	1	12	105.23	11.58	
13.	B7_2.tif	1	13	75.68	9.82	
14.	B7_2.tif	1	14	62.50	8.92	
15.	B7_2.tif	1	15	89.20	10.66	
16.	B7_2.tif	1	16	76.45	9.87	
17.	B7_2.tif	1	17	67.26	9.25	
18.	B7_2.tif	1	18	52.34	8.16	
19.	B7_2.tif	1	19	58.52	8.63	
20.	B7_2.tif	1	20	83.66	10.32	
21.	B7_2.tif	1	21	83.44	10.31	
22.	B7_2.tif	1	22	145.00	13.59	
23.	B7_2.tif	1	23	89.12	10.65	
24.	B7_2.tif	1	24	91.21	10.78	
25.	B7_2.tif	1	25	167.47	14.60	
26.	B7_2.tif	1	26	74.94	9.77	
27.	B7_2.tif	1	27	89.78	10.69	
28.	B7_2.tif	1	28	74.31	9.73	
29.	B7_2.tif	1	29	100.11	11.29	
30.	B7_2.tif	1	30	74.04	9.71	
31.	B7_2.tif	1	31	89.39	10.67	
32.	B7_2.tif	1	32	86.90	10.52	
33.	B7_2.tif	1	33	78.64	10.01	
34.	B7_2.tif	1	34	106.60	11.65	
35.	B7_2.tif	1	35	80.28	10.11	
36.	B7_2.tif	1	36	121.26	12.43	
37.	B7_2.tif	1	37	92.77	10.87	
38.	B7_2.tif	1	38	91.31	10.78	
39.	B7_2.tif	1	39	106.97	11.67	
40.	B7_2.tif	1	40	116.56	12.18	
41.	B7_2.tif	1	41	126.33	12.68	
42.	B7_2.tif	1	42	129.79	12.85	
43.	B7_2.tif	1	43	64.04	9.03	
44.	B7_2.tif	1	44	127.09	12.72	
45.	B7_2.tif	1	45	91.37	10.79	
46.	B7_2.tif	1	47	111.78	11.93	
47.	B7_2.tif	1	48	131.90	12.96	
48.	B7_2.tif	1	49	90.55	10.74	
49.	B7_2.tif	1	50	181.49	15.20	
50.	B7_2.tif	1	51	97.28	11.13	
51.	B7_2.tif	1	52	76.63	9.88	
52.	B7_2.tif	1	53	89.12	10.65	
53.	B7_2.tif	1	54	48.93	7.89	


