Item	Source	FieldID	ObjID	Area	EqDiameter	
1.	B4_1.tif	1	1	100.34	11.30	
2.	B4_1.tif	1	2	111.67	11.92	
3.	B4_1.tif	1	3	78.66	10.01	
4.	B4_1.tif	1	4	67.55	9.27	
5.	B4_1.tif	1	5	92.37	10.84	
6.	B4_1.tif	1	6	83.07	10.28	
7.	B4_1.tif	1	7	105.97	11.62	
8.	B4_1.tif	1	8	87.85	10.58	
9.	B4_1.tif	1	9	69.53	9.41	
11.	B4_1.tif	1	10	107.21	11.68		
1.	B4_2.tif	1	1	79.67	10.07	
2.	B4_2.tif	1	2	91.74	10.81	
3.	B4_2.tif	1	3	67.63	9.28	
4.	B4_2.tif	1	4	97.81	11.16	
5.	B4_2.tif	1	5	83.39	10.30	
6.	B4_2.tif	1	6	58.07	8.60	
7.	B4_2.tif	1	7	92.63	10.86	



