Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A250W8A7	A0A250W8A7	YSP2	YSP2	SCKG_0199	SCKG_0199			29467216:0114:LC
A0A250WL92	A0A250WL92	LAM4	LAM4	SCKG_4597	SCKG_4597			29463678:0114:LC
D6VTK4	D6VTK4	STE2	STE2			S000001868	S000001868	24682008:0090:LC|22923047:0055:LC|28073700:0090:LC|27993568:0055:LC|24122388:0090:LC|15352875:0055:LC
D6VTK4	P08539	STE2	GPA1			S000001868	S000001047	10664449:0018:LC|11287148:0018:LC
D6VTK4	P18851	STE2	STE4		YOR50-2	S000001868	S000005738	10664449:0018:LC|11287148:0018:LC
D6VTK4	P32435	STE2	MF(ALPHA)2			S000001868	S000003057	11495900:0401:LC|2839507:0030:LC|2839507:0405:LC
E9P8D2	E9P8D2	MPR1	MPR1					23818613:0114:LC
O13297	O13297	CET1	CET1	P1433	P1433	S000006149	S000006149	10428848:0029:LC|20159466:0114:LC|10589681:0114:LC|20828586:0090:LC
O13297	P04050	CET1	RPO21	P1433	D2150	S000006149	S000002299	9832501:0019:LC|9407025:0004:LC|9832501:0096:LC|9407025:0019:LC|9407025:0096:LC
O13297	Q01159	CET1	CEG1	P1433	G2853	S000006149	S000003098	9832501:0004:LC|9345280:0047:LC|12419231:0006:LC|10428848:0029:LC|20159466:0071:LC|9345280:0004:LC|20159466:0096:LC|20159466:0114:LC|9832501:0019:LC|9755857:0018:LC|12419231:0004:LC|11094081:0018:LC|12419231:0091:LC|11805826:0004:LC|11805826:0676:LC|12419231:0401:LC|11805826:0007:LC
O13329	O13329	FOB1	FOB1	YD9727.06	YD9727.06	S000002517	S000002517	26063576:0018:LC|26951198:0018:LC|14576157:0018:LC
O13329	P06700	FOB1	SIR2	YD9727.06	D2714	S000002517	S000002200	17043313:0007:LC|20179323:0018:LC|26951198:0018:LC
O13329	P17123	FOB1	SPO12	YD9727.06		S000002517	S000001195	15043811:0004:LC|15043811:0018:LC
O13329	P47035	FOB1	NET1	YD9727.06	J1038	S000002517	S000003612	17043313:0676:LC|26951198:0096:LC|17043313:0004:LC|17043313:0007:LC|20179323:0018:LC|26951198:0018:LC
O13329	Q02208	FOB1	TOF2	YD9727.06	YK109	S000002517	S000001718	17043313:0004:LC|26951198:0018:LC|17043313:0007:LC|17043313:0676:LC
O13329	Q12457	FOB1	NSI1	YD9727.06	PZE570	S000002517	S000002433	14576157:0018:LC|26951198:0018:LC
O13525	P27680	COQ4	COQ3	YD8142.01	HRF316	S000002612	S000005456	15792955:0004:LC|17391640:0276:LC|15792955:0401:LC
O13525	Q05779	COQ4	COQ9	YD8142.01		S000002612	S000004191	17391640:0004:LC|17391640:0007:LC|24406904:0401:LC
O13530	P39534	O13530	MBB1		J0334	S000004188	S000003735	10655498:0018:LC
O13539	P53552	THP2	THO2		N1209|N1835	S000001210	S000005083	11979277:0676:LC|22314234:0114:LC|11979277:0004:LC|11979277:0401:LC
O13549	P47821	VPS63	SSN8		N2805	S000004251	S000004970	10655498:0018:LC
O13553	P53910	O13553	P53910		N1830	S000004309	S000005084	10655498:0018:LC
O13554	P47821	VPS65	SSN8		N2805	S000004314	S000004970	10655498:0018:LC
O13563	P38348	RPN13	HSM3		YBR1740	S000004413	S000000476	19446323:0007:LC|19446322:0007:LC|19446322:0004:LC|24013205:0071:LC
O13563	P38886	RPN13	RPN10			S000004413	S000001243	11029046:0004:LC|11029046:0019:LC|24429290:0401:LC
O13563	P53196	RPN13	RPN14			S000004413	S000002972	19446323:0007:LC|11805837:0004:LC|11805837:0007:LC
O13565	P34166	O13565	MFA2		N1204|N1787	S000004350	S000005089	10655498:0018:LC
O13565	P47821	O13565	SSN8		N2805	S000004350	S000004970	10655498:0018:LC
O14455	P39743	RPL36B	RVS167	YPL249BC	D9509.8	S000006438	S000002796	10992286:0018:LC
O60200	P35200	MDM35	UPS2		L9470.15	S000007243	S000004158	20622808:0401:LC|20622808:0096:LC|20657548:0004:LC|20622808:0007:LC|20657548:0676:LC|20622808:0004:LC|20657548:0007:LC
O60200	Q05776	MDM35	UPS1			S000007243	S000004183	26235513:0096:LC|20622808:0401:LC|20657548:0004:LC|20622808:0096:LC|23042293:0401:LC|26235513:0114:LC|20657548:0676:LC|20622808:0007:LC|26071601:0114:LC|20622808:0004:LC|26071601:0401:LC|PDB_5JQO:0114:LC|20657548:0007:LC
O74700	O74700	TIM9	TIM9	YEL020BW	YEL020BW	S000007256	S000007256	18022191:0401:LC|12138093:0401:LC
O74700	P18239	TIM9	PET9	YEL020BW	YBL0421	S000007256	S000000126	11509656:0030:LC|9822593:0030:LC
O74700	P36046	TIM9	MIA40	YEL020BW		S000007256	S000001678	20026652:0401:LC|17978092:0401:LC|22990235:0030:LC
O74700	P87108	TIM9	TIM10	YEL020BW	YHR005BC	S000007256	S000003530	11867522:0401:LC|11867522:0004:LC|12882976:0401:LC|9822593:0029:LC|9822593:0004:LC|11483513:0096:LC|18022191:0401:LC|16039669:0401:LC|11483513:0071:LC|9822593:0401:LC|18421298:0401:LC|9822593:0404:LC|11483513:0006:LC|11483513:0276:LC|17978092:0401:LC|9822593:0019:LC|19037098:0114:LC|18022191:0096:LC
O94742	P38348	SEM1	HSM3		YBR1740	S000007235	S000000476	19446323:0007:LC|19446322:0007:LC
O94742	P46674	SEM1	SAC3		YD8358.13	S000007235	S000002566	22343721:0071:LC|22343721:0114:LC|22343721:0676:LC|23643786:0114:LC|27422657:0401:LC|22343721:0096:LC
O94742	Q08231	SEM1	THP1		O1140	S000007235	S000005433	23643786:0114:LC|27422657:0114:LC|28334829:0114:LC
O94742	Q12250	SEM1	RPN5		D1572	S000007235	S000002306	26451487:0401:LC|19446322:0007:LC|19446322:0004:LC
P00044	P00044	CYC1	CYC1	J1653	J1653	S000003809	S000003809	26038984:0114:LC|24760830:0114:LC|16227441:0114:LC|PDB_4N0K:0114:LC|PDB_4YE1:0114:LC|16893189:0401:LC|27499202:0114:LC|29125201:0114:LC|15071191:0114:LC|22717436:0114:LC|PDB_4QAO:0114:LC|28407337:0114:LC|27990813:0114:LC
P00044	P00431	CYC1	CCP1	J1653		S000003809	S000001774	PDB_4P4Q:0114:LC|17128976:0114:LC|15339156:0114:LC|17146057:0077:LC|16227441:0114:LC|16478190:0114:LC|2820983:0114:LC|16893189:0401:LC|24726731:0077:LC|27499202:0114:LC|25944250:0114:LC|15071191:0114:LC|11900539:0114:LC|11900539:0096:LC|20672804:0114:LC|1334573:0114:LC|2166169:0114:LC
P00044	P07143	CYC1	CYT1	J1653	YOR29-16	S000003809	S000005591	11880631:0114:LC|12206886:0114:LC
P00044	P27882	CYC1	ERV1	J1653		S000003809	S000003261	17972915:0096:LC|20188670:0415:LC|17972915:0004:LC|17972915:0415:LC
P00127	P07143	QCR6	CYT1		YOR29-16	S000001929	S000005591	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00127	P08525	QCR6	QCR8		J0526	S000001929	S000003702	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00128	P00163	QCR7	COB	D9719.32		S000002937	S000007270	10873857:0114:LC|11880631:0114:LC|23007649:0401:LC|12782631:0114:LC
P00128	P07143	QCR7	CYT1	D9719.32	YOR29-16	S000002937	S000005591	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00128	P08525	QCR7	QCR8	D9719.32	J0526	S000002937	S000003702	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00128	P53168	QCR7	DUO1	D9719.32		S000002937	S000003029	10655498:0018:LC
P00163	P07143	COB	CYT1		YOR29-16	S000007270	S000005591	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00163	P07256	COB	COR1		YBL0403	S000007270	S000000141	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00163	P08067	COB	RIP1			S000007270	S000000750	10873857:0114:LC|11880631:0114:LC|12782631:0114:LC
P00163	P08525	COB	QCR8		J0526	S000007270	S000003702	10873857:0114:LC|11880631:0114:LC|23007649:0401:LC|12782631:0114:LC
P00175	P00175	CYB2	CYB2	YM9958.08C	YM9958.08C	S000004518	S000004518	2329585:0114:LC|11914072:0114:LC|7632684:0114:LC|8003966:0114:LC|15260495:0114:LC|7626026:0114:LC|781266:0114:LC|10727218:0114:LC|17563122:0114:LC
P00330	P00330	ADH1	ADH1	O0947	O0947	S000005446	S000005446	26743849:0114:LC|19343713:0401:LC|19343713:0276:LC|25157460:0114:LC
P00330	P07264	ADH1	LEU1	O0947		S000005446	S000002977	11805826:0676:LC|11805826:0004:LC|11805826:0363:LC|11805826:0007:LC|21036361:0401:LC
P00330	P28003	ADH1	FUN19	O0947		S000005446	S000002134	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	P28708	ADH1	PRR1	O0947	YKL516	S000005446	S000001599	21036361:0401:LC|16319894:0415:LC
P00330	P32492	ADH1	MYO4	O0947	FUN22	S000005446	S000000027	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	P38310	ADH1	FTH1	O0947	YBR1446	S000005446	S000000411	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	P39715	ADH1	ECM1	O0947		S000005446	S000000055	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	P43601	ADH1	ATG18	O0947		S000005446	S000001917	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	P53917	ADH1	FAR11	O0947	N1221|N1875	S000005446	S000005071	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	Q06624	ADH1	AOS1	O0947	P9705.5	S000005446	S000006384	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	Q08278	ADH1	MED7	O0947		S000005446	S000005495	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	Q08649	ADH1	ESA1	O0947	O5257	S000005446	S000005770	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	Q08773	ADH1	ISW2	O0947		S000005446	S000005831	11805826:0676:LC|11805826:0007:LC|11805826:0004:LC|21036361:0401:LC
P00330	Q08826	ADH1	SNX3	O0947		S000005446	S000005884	15263065:0397:LC|15263065:0018:LC|21036361:0401:LC
P00359	P00359	TDH3	TDH3	G7576	G7576	S000003424	S000003424	19343713:0276:LC|19343713:0401:LC|PDB_3PYM:0114:LC
P00359	P06700	TDH3	SIR2	G7576	D2714	S000003424	S000002200	24146631:0018:LC|11805826:0676:LC|11805826:0004:LC|11805826:0007:LC|24146631:0004:LC
P00401	P00410	COX1	COX2			S000007260	S000007281	15921494:0401:LC|23897805:0401:LC
P00401	P00420	COX1	COX3			S000007260	S000007283	15921494:0401:LC|23897805:0401:LC
P00401	P04039	COX1	COX8		L8084.14	S000007260	S000004387	15921494:0401:LC|23897805:0401:LC
P00410	P23833	COX2	SCO1		YBR0406	S000007281	S000000241	11086158:0004:LC|11086158:0019:LC|11086158:0025:LC|11546815:0401:LC|11546815:0071:LC|11086158:0096:LC
P00431	P00431	CCP1	CCP1			S000001774	S000001774	PDB_4P4Q:0114:LC|15339156:0114:LC|2820983:0114:LC|23517193:0114:LC|16893189:0401:LC|26032594:0114:LC|15071191:0114:LC|27499202:0114:LC|16227441:0114:LC|1334573:0114:LC
P00431	P53259	CCP1	PCP1			S000001774	S000003333	12774122:0415:LC|12417197:0401:LC
P00445	P00445	SOD1	SOD1	J1968	J1968	S000003865	S000003865	11524675:0114:LC|1772629:0114:LC|2655595:0114:LC
P00445	P23291	SOD1	YCK1	J1968		S000003865	S000001177	11805837:0004:LC|23332757:0004:LC|23332757:0007:LC|11805837:0007:LC
P00445	P39009	SOD1	DUN1	J1968	D2370	S000003865	S000002259	11805837:0004:LC|24647101:0004:LC|24647101:0415:LC|11805837:0007:LC
P00445	P40202	SOD1	CCS1	J1968	YM9532.03C	S000003865	S000004641	10944535:0018:LC|11524675:0114:LC
P00447	P00447	SOD2	SOD2			S000001050	S000001050	PDB_4F6E:0114:LC|22102021:0114:LC|PDB_3LSU:0114:LC|22908245:0114:LC
P00546	P07866	CDC28	LTE1	YBR1211		S000000364	S000000022	12432084:0415:LC|24019491:0090:LC
P00546	P08153	CDC28	SWI5	YBR1211	YD8358.03C	S000000364	S000002553	24186061:0415:LC|24019491:0090:LC|21658602:0415:LC
P00546	P09119	CDC28	CDC6	YBR1211	J0347	S000000364	S000003730	15744308:0415:LC|8930895:0019:LC|10512865:0019:LC|10512865:0096:LC|23267104:0946:LC|25995377:0415:LC|24186061:0415:LC|21658602:0415:LC|8930895:0415:LC|8930895:0096:LC|22117071:0415:LC|8930895:0004:LC
P00546	P09798	CDC28	CDC16	YBR1211		S000000364	S000001505	23751495:0415:LC|10871279:0415:LC
P00546	P09959	CDC28	SWI6	YBR1211	L9470.8	S000000364	S000004172	24019491:0090:LC|21658602:0415:LC|14993267:0415:LC|18231587:0090:LC
P00546	P13186	CDC28	KIN2	YBR1211	L8004.3	S000000364	S000004086	20489023:0007:LC|20489023:0004:LC
P00546	P13365	CDC28	CLN3	YBR1211	FUN10	S000000364	S000000038	1316273:0045:LC|1316273:0004:LC|24186061:0415:LC|10913169:0007:LC|7823941:0415:LC|1316273:0019:LC|23217712:0424:LC|23339867:0415:LC|20489023:0004:LC|1316273:0415:LC|14690591:0397:LC|12024050:0004:LC|12024050:0019:LC|20489023:0007:LC
P00546	P14180	CDC28	CHS2	YBR1211	YBR0407	S000000364	S000000242	16319894:0415:LC
P00546	P14737	CDC28	RAD9	YBR1211	YD9934.02C	S000000364	S000002625	24019491:0090:LC
P00546	P16522	CDC28	CDC23	YBR1211		S000000364	S000001209	23751495:0415:LC|10871279:0415:LC
P00546	P20437	CDC28	CLN1	YBR1211	YM9646.13	S000000364	S000004812	8387915:0045:LC|9346238:0415:LC|8395009:0096:LC|20489023:0007:LC|8395009:0019:LC|11805837:0004:LC|20489023:0676:LC|11805826:0004:LC|20489023:0004:LC|11805837:0007:LC|14690591:0397:LC|10213692:0415:LC|9346238:0004:LC|11805826:0676:LC|11805826:0007:LC|8387915:0019:LC
P00546	P20438	CDC28	CLN2	YBR1211		S000000364	S000006177	8395009:0019:LC|8066461:0019:LC|10913169:0007:LC|2142620:0019:LC|8395009:0096:LC|20489023:0007:LC|2142620:0045:LC|11805826:0676:LC|20489023:0676:LC|17289571:0424:LC|8066461:0004:LC|11805837:0004:LC|11805826:0004:LC|20489023:0004:LC|11805837:0007:LC|8599119:0415:LC|10913169:0096:LC|8599119:0096:LC|11805826:0007:LC
P00546	P20486	CDC28	CKS1	YBR1211	YBR1011	S000000364	S000000339	20489023:0007:LC|10655498:0018:LC|10323869:0004:LC|19647054:0018:LC|2664468:0019:LC|10323869:0401:LC|11805837:0004:LC|89313749:0019:LC|20489023:0676:LC|11805826:0004:LC|20489023:0004:LC|2664468:0004:LC|11805837:0007:LC|16319894:0415:LC|11805826:0676:LC|11805826:0007:LC
P00546	P21192	CDC28	ACE2	YBR1211	L3123|L9606.10	S000000364	S000004121	25049391:0415:LC|24493588:0415:LC|21658602:0415:LC
P00546	P21268	CDC28	FAR1	YBR1211	J0565	S000000364	S000003693	24019491:0090:LC|9367986:0415:LC|24186061:0415:LC|21658602:0415:LC|8395009:0019:LC|8500168:0004:LC|8395009:0004:LC|8500168:0415:LC|8395009:0096:LC|25049391:0415:LC|8395009:0415:LC
P00546	P23748	CDC28	MIH1	YBR1211	YM9532.01C|YM9973.10C	S000000364	S000004639	18316413:0415:LC
P00546	P24279	CDC28	MCM3	YBR1211	SYGP-ORF23	S000000364	S000000758	16319894:0415:LC|24019491:0090:LC|15744308:0415:LC
P00546	P24482	CDC28	DPB2	YBR1211	P9705.7	S000000364	S000006379	14747467:0415:LC
P00546	P24814	CDC28	GRR1	YBR1211	J1885	S000000364	S000003850	12052857:0019:LC|25049391:0415:LC
P00546	P24868	CDC28	CLB1	YBR1211	G5967	S000000364	S000003340	8455600:0019:LC|20489023:0007:LC|20489023:0004:LC|20489023:0676:LC|8455600:0045:LC|8455600:0096:LC
P00546	P24869	CDC28	CLB2	YBR1211	P9642.6	S000000364	S000006323	8754858:0004:LC|23751495:0004:LC|8754858:0019:LC|12972503:0004:LC|11566880:0019:LC|20489023:0007:LC|9831566:0401:LC|11566880:0004:LC|11805837:0004:LC|10206189:0045:LC|20489023:0676:LC|20489023:0004:LC|1849457:0019:LC|11805837:0007:LC|23751495:0401:LC|18558651:0004:LC|12972503:0019:LC|10206189:0004:LC|10206189:0401:LC|15496876:0019:LC|24019491:0401:LC|18558651:0415:LC
P00546	P24870	CDC28	CLB3	YBR1211	D1539	S000000364	S000002314	9831566:0401:LC|8455600:0019:LC|20489023:0007:LC|20489023:0676:LC|10206189:0045:LC|20489023:0004:LC|8455600:0096:LC|10206189:0004:LC|10206189:0401:LC|15496876:0019:LC|24019491:0401:LC
P00546	P24871	CDC28	CLB4	YBR1211	L8167.3	S000000364	S000004200	8455600:0019:LC|20489023:0007:LC|8455600:0045:LC|20489023:0004:LC|20489023:0676:LC|8455600:0096:LC
P00546	P25302	CDC28	SWI4	YBR1211		S000000364	S000000913	8402888:0415:LC|18231587:0090:LC
P00546	P25364	CDC28	HCM1	YBR1211	YCR65W|YCR902	S000000364	S000000661	24186061:0415:LC|24714560:0415:LC
P00546	P25558	CDC28	BUD3	YBR1211	YCL012W|YCL013W|YCL12W|YCL13W|YCL14W	S000000364	S000000520	24319056:0415:LC
P00546	P25579	CDC28	LRE1	YBR1211	YCL51W	S000000364	S000000556	23954433:0415:LC|23954433:0004:LC
P00546	P27895	CDC28	CIN8	YBR1211		S000000364	S000000787	20463882:0415:LC|28455557:0415:LC
P00546	P28743	CDC28	KIP2	YBR1211	P2581	S000000364	S000006076	24019491:0090:LC
P00546	P30283	CDC28	CLB5	YBR1211	P9642.8	S000000364	S000006324	9831566:0401:LC|20489023:0007:LC|20489023:0676:LC|8253070:0018:LC|20489023:0004:LC
P00546	P32325	CDC28	DBF4	YBR1211	D4205|YD9609.07C	S000000364	S000002459	25287299:0415:LC
P00546	P32356	CDC28	NTH1	YBR1211	YD8119.07C	S000000364	S000002408	27203178:0415:LC
P00546	P32380	CDC28	SPC110	YBR1211	D9476.3	S000000364	S000002764	15744308:0415:LC|21700874:0415:LC|24842996:0415:LC
P00546	P32447	CDC28	ASF1	YBR1211	J0755	S000000364	S000003651	24019491:0090:LC|16319894:0415:LC
P00546	P32526	CDC28	KAR9	YBR1211		S000000364	S000006190	12554645:0018:LC|12554645:0415:LC|24019491:0090:LC|12600318:0415:LC
P00546	P32562	CDC28	CDC5	YBR1211	YM8270.03C	S000000364	S000004603	12111552:0018:LC
P00546	P32567	CDC28	PAH1	YBR1211	YM8520.14C	S000000364	S000004775	24019491:0090:LC|21081492:0415:LC|16319894:0415:LC
P00546	P32786	CDC28	RRN6	YBR1211	YBL0311|YBL0312	S000000364	S000000110	16319894:0415:LC
P00546	P32797	CDC28	CDC13	YBR1211		S000000364	S000002379	19359360:0415:LC|19135888:0415:LC|19135888:0424:LC|16319894:0415:LC
P00546	P32801	CDC28	ELM1	YBR1211	YKL261	S000000364	S000001531	18231587:0090:LC
P00546	P32833	CDC28	ORC2	YBR1211	YBR0523	S000000364	S000000264	21289063:0415:LC|15744308:0415:LC|21658602:0415:LC
P00546	P32943	CDC28	CLB6	YBR1211	G5970	S000000364	S000003341	20489023:0007:LC|20489023:0004:LC|8253070:0018:LC|26994663:0415:LC
P00546	P32944	CDC28	SWE1	YBR1211	J0406	S000000364	S000003723	16096060:0415:LC|15920482:0415:LC|16319894:0415:LC|21849476:0004:LC|20489023:0007:LC|12388757:0415:LC|20489023:0004:LC|16096060:0004:LC|18558651:0415:LC|21849476:0415:LC|12388757:0401:LC
P00546	P34161	CDC28	YOX1	YBR1211		S000000364	S000004489	24186061:0415:LC|24714560:0415:LC|21658602:0415:LC
P00546	P34233	CDC28	ASH1	YBR1211		S000000364	S000001668	24186061:0415:LC|21658602:0415:LC|12695666:0415:LC|21098119:0415:LC
P00546	P34241	CDC28	URB1	YBR1211		S000000364	S000001497	14690591:0018:LC|14690591:0397:LC
P00546	P34252	CDC28	SLD2	YBR1211	YKL463	S000000364	S000001591	11807498:0415:LC|25049391:0415:LC|11807498:0401:LC
P00546	P36094	CDC28	SPC42	YBR1211	YKL255	S000000364	S000001525	21700874:0415:LC|12554645:0018:LC
P00546	P36157	CDC28	MSA2	YBR1211		S000000364	S000001785	14690591:0397:LC
P00546	P36166	CDC28	PXL1	YBR1211		S000000364	S000001798	21658602:0415:LC
P00546	P36167	CDC28	SRL3	YBR1211	YKR411	S000000364	S000001799	25049391:0415:LC
P00546	P38042	CDC28	CDC27	YBR1211	YBL0718	S000000364	S000000180	23751495:0415:LC|10871279:0415:LC
P00546	P38261	CDC28	EXO84	YBR1211	YBR0831	S000000364	S000000306	23836930:0415:LC|21658602:0415:LC
P00546	P38277	CDC28	P38277	YBR1211	YBR1014	S000000364	S000000342	16319894:0415:LC
P00546	P38634	CDC28	SIC1	YBR1211	L9449.8	S000000364	S000004069	23230424:0415:LC|9346238:0415:LC|9346239:0096:LC|21993622:0415:LC|9334303:0401:LC|20489023:0007:LC|24019491:0090:LC|20489023:0676:LC|14747994:0415:LC|8421781:0019:LC|23339867:0415:LC|17137646:0415:LC|20489023:0004:LC|9346239:0019:LC|9346238:0004:LC|25049391:0415:LC|9285816:0415:LC|25619768:0415:LC
P00546	P38826	CDC28	ORC6	YBR1211		S000000364	S000001160	15744308:0415:LC|24186061:0415:LC|21658602:0415:LC|21289063:0415:LC|11572976:0415:LC
P00546	P38991	CDC28	IPL1	YBR1211		S000000364	S000006130	22521784:0415:LC
P00546	P39734	CDC28	FRT2	YBR1211		S000000364	S000000026	16319894:0415:LC
P00546	P40020	CDC28	FIR1	YBR1211		S000000364	S000000834	24186061:0415:LC|21658602:0415:LC
P00546	P40028	CDC28	YEN1	YBR1211		S000000364	S000000843	15744308:0415:LC|24631283:0415:LC
P00546	P40038	CDC28	PCL6	YBR1211		S000000364	S000000861	14690591:0397:LC
P00546	P40186	CDC28	PCL7	YBR1211		S000000364	S000001312	14690591:0397:LC
P00546	P40316	CDC28	PDS1	YBR1211	YD9727.08C	S000000364	S000002520	16319894:0415:LC|12050115:0415:LC|21658602:0415:LC|12050115:0401:LC|12050115:0096:LC
P00546	P40484	CDC28	MOB1	YBR1211		S000000364	S000001368	20123997:0415:LC
P00546	P40489	CDC28	XBP1	YBR1211		S000000364	S000001363	24186061:0415:LC|21658602:0415:LC
P00546	P41697	CDC28	BUD6	YBR1211	L8543.5	S000000364	S000004311	24019491:0090:LC
P00546	P41813	CDC28	FKH2	YBR1211	N2403|YNL2403C	S000000364	S000005012	15509804:0415:LC|15509804:0096:LC
P00546	P41832	CDC28	BNI1	YBR1211	N0646	S000000364	S000005215	27068241:0415:LC
P00546	P42845	CDC28	STB1	YBR1211	N0384	S000000364	S000005253	24186061:0415:LC|24019491:0090:LC|10409718:0415:LC|21658602:0415:LC|25619768:0415:LC|12832490:0415:LC|14690591:0397:LC
P00546	P42943	CDC28	CCT7	YBR1211	J0804	S000000364	S000003647	24019491:0090:LC|16319894:0415:LC
P00546	P43568	CDC28	CAK1	YBR1211		S000000364	S000001865	8752210:0415:LC|8752211:0019:LC|20489023:0007:LC|8752211:0004:LC|19647054:0018:LC|8336723:0019:LC|9393434:0415:LC|14690591:0397:LC|8752211:0045:LC|8752211:0096:LC|10793138:0415:LC|20489023:0004:LC|8752211:0415:LC
P00546	P43605	CDC28	ECO1	YBR1211		S000000364	S000001923	21549314:0415:LC|23314252:0415:LC
P00546	P43618	CDC28	CNN1	YBR1211		S000000364	S000001942	23334295:0415:LC|15744308:0415:LC|24186061:0415:LC
P00546	P47035	CDC28	NET1	YBR1211	J1038	S000000364	S000003612	24019491:0090:LC|25049391:0415:LC
P00546	P47116	CDC28	PTK2	YBR1211	J1725	S000000364	S000003820	24019491:0090:LC
P00546	P47136	CDC28	BUD4	YBR1211	J1905	S000000364	S000003852	16319894:0415:LC
P00546	P50090	CDC28	KEL2	YBR1211	G8585	S000000364	S000003470	16319894:0415:LC
P00546	P52919	CDC28	NBP1	YBR1211	L9122.6	S000000364	S000004449	24019491:0090:LC
P00546	P53159	CDC28	MPS2	YBR1211		S000000364	S000003043	21700874:0415:LC|15744308:0415:LC
P00546	P53197	CDC28	CDH1	YBR1211		S000000364	S000002971	11805837:0004:LC|15744308:0415:LC|9831566:0401:LC|18500339:0415:LC|21658602:0415:LC|10074450:0415:LC|11566880:0019:LC|11805837:0007:LC|9831566:0415:LC|10074450:0401:LC|11566880:0004:LC
P00546	P53222	CDC28	P53222	YBR1211		S000000364	S000003267	24019491:0090:LC
P00546	P53551	CDC28	HHO1	YBR1211	LPI17C	S000000364	S000006048	23751495:0415:LC|21954289:0415:LC|21658602:0415:LC|24019491:0415:LC|10871278:0415:LC
P00546	P53739	CDC28	FPK1	YBR1211	N3449	S000000364	S000005330	16319894:0415:LC
P00546	P53958	CDC28	BOP3	YBR1211	N2670	S000000364	S000004987	24186061:0415:LC|21658602:0415:LC
P00546	P54784	CDC28	ORC1	YBR1211		S000000364	S000004530	21289063:0415:LC
P00546	Q00684	CDC28	CDC14	YBR1211		S000000364	S000001924	25049391:0415:LC
P00546	Q00772	CDC28	SLT2	YBR1211		S000000364	S000001072	8598209:0415:LC
P00546	Q02606	CDC28	Q02606	YBR1211		S000000364	S000005935	25049391:0415:LC|14690591:0397:LC
P00546	Q02866	CDC28	MUK1	YBR1211		S000000364	S000005991	14690591:0397:LC
P00546	Q03208	CDC28	Q03208	YBR1211	YM7056.07	S000000364	S000004588	21658602:0415:LC
P00546	Q03898	CDC28	FIN1	YBR1211	YD9302.05C	S000000364	S000002537	24186061:0415:LC|15744308:0415:LC|21658602:0415:LC|22117071:0415:LC
P00546	Q04116	CDC28	YHP1	YBR1211	D9461.36	S000000364	S000002859	24186061:0415:LC|24714560:0415:LC|21658602:0415:LC
P00546	Q04383	CDC28	PLM2	YBR1211		S000000364	S000002909	24186061:0415:LC|21658602:0415:LC
P00546	Q06266	CDC28	TOS4	YBR1211	L94705.22	S000000364	S000004173	24714560:0415:LC|21658602:0415:LC
P00546	Q06412	CDC28	TUS1	YBR1211		S000000364	S000004417	18256282:0415:LC
P00546	Q06616	CDC28	Q06616	YBR1211		S000000364	S000006378	24186061:0415:LC
P00546	Q06648	CDC28	GIC2	YBR1211	D9740.18	S000000364	S000002717	25049391:0415:LC|9736614:0415:LC
P00546	Q08471	CDC28	MSA1	YBR1211	YOR29-17	S000000364	S000005592	21658602:0415:LC
P00546	Q08550	CDC28	MPC54	YBR1211		S000000364	S000005703	16319894:0415:LC
P00546	Q08887	CDC28	NDD1	YBR1211		S000000364	S000005899	14521842:0415:LC|24186061:0415:LC|21658602:0415:LC|12865300:0415:LC
P00546	Q08949	CDC28	DDC1	YBR1211		S000000364	S000006115	15744308:0415:LC
P00546	Q08981	CDC28	ACM1	YBR1211		S000000364	S000006188	18287090:0415:LC|22117071:0415:LC
P00546	Q12107	CDC28	APC9	YBR1211		S000000364	S000004092	23751495:0415:LC|10871279:0415:LC
P00546	Q12263	CDC28	GIN4	YBR1211	D9719.13	S000000364	S000002915	24019491:0090:LC
P00546	Q12267	CDC28	SMC4	YBR1211	L9449.5	S000000364	S000004076	24319056:0415:LC|25691469:0415:LC
P00546	Q12369	CDC28	SFI1	YBR1211	L1373	S000000364	S000003926	24954044:0415:LC|25340401:0415:LC
